시도명,선거구,인구수,상세
경기도,안산시 상록구 갑,214384,"사1동, 사2동, 사3동, 본오1동, 본오2동, 본오3동, 반월동"
경기도,안산시 상록구 을,164678,"일동, 이동, 부곡동, 월피동, 성포동, 안산동"
경기도,안산시 단원구 갑,177942,"와동, 원곡본동, 원곡1동, 원곡2동, 선부1동, 선부2동, 선부3동"
경기도,안산시 단원구 을,142623,"고잔1동, 고잔2동, 호수동, 초지동, 대부동"
경기도,고양시 갑,278456,"덕양구 주교동, 원신동, 흥도동, 성사1동, 성사2동, 고양동, 관산동, 화정1동, 화정2동"
경기도,고양시 갑,278456,일산동구 식사동
경기도,고양시 을,193326,"덕양구 효자동, 신도동, 창릉동, 능곡동, 행주동, 행신1동, 행신2동, 행신3동, 화전동, 대덕동"
경기도,고양시 병,274156,"일산동구 중산동, 정발산동, 풍산동, 백석1동, 백석2동, 마두1동, 마두2동, 장항1동, 장항2동, 고봉동"
경기도,고양시 병,274156,일산서구 일산2동
경기도,고양시 정,278608,"일산서구 일산1동, 일산3동, 탄현동, 주엽1동, 주엽2동, 대화동, 송포동, 송산동"
경기도,의왕시·과천시,227015,의왕시·과천시 전역
경기도,구리시,186731,구리시 전역
경기도,남양주시 갑,199761,"화도읍, 수동면, 호평동, 평내동"
경기도,남양주시 을,232051,"진접읍, 오남읍, 별내면, 별내동"
경기도,남양주시 병,218538,"와부읍, 진건읍, 조안면, 퇴계원읍, 금곡동, 양정동, 지금동, 도농동"
경기도,오산시,207035,오산시 전역
경기도,시흥시 갑,207695,"대야동, 신천동, 신현동, 은행동, 매화동, 목감동, 과림동, 연성동, 장곡동, 능곡동"
경기도,시흥시 을,189894,"군자동, 월곶동, 정왕본동, 정왕1동, 정왕2동, 정왕3동, 정왕4동"
경기도,군포시 갑,140857,"군포1동, 군포2동, 산본1동, 금정동, 대야동"
경기도,군포시 을,146881,"산본2동, 재궁동, 오금동, 수리동, 궁내동, 광정동"
경기도,하남시,161319,하남시 전역
경기도,용인시 갑,222941,처인구 전역
경기도,용인시 을,221951,"기흥구 신갈동, 영덕동, 구갈동, 상갈동, 기흥동, 서농동, 상하동"
경기도,용인시 병,264440,"수지구 풍덕천1동, 풍덕천2동, 성복동, 동천동, 신봉동, 상현1동, 상현2동"
경기도,용인시 정,265745,"수지구 죽전1동, 죽전2동"
경기도,용인시 정,265745,"기흥구 구성동, 마북동, 동백동, 보정동"
경기도,파주시 갑,233263,"조리읍, 탄현면, 광탄면, 교하동, 운정1동, 운정2동, 운정3동"
경기도,파주시 을,187601,"문산읍, 파주읍, 법원읍, 월롱면, 파평면, 적성면, 군내면,장단면, 진동면, 진서면, 금촌1동, 금촌2동, 금촌3동[8]"
경기도,이천시,205676,이천시 전역
경기도,안성시,181635,안성시 전역
경기도,김포시 갑,180050,"고촌읍, 김포1동, 사우동, 풍무동, 장기동"
경기도,김포시 을,168348,"통진읍, 양촌읍, 대곶면, 월곶면, 하성면, 김포2동, 구래동, 운양동"
경기도,화성시 갑,175113,"우정읍, 향남읍, 남양읍, 매송면, 비봉면, 마도면, 송산면, 서신면, 팔탄면, 장안면, 양감면, 정남면"
경기도,화성시 을,174560,"동탄면, 동탄1동, 동탄2동, 동탄3동, 동탄4동"
경기도,화성시 병,237223,"봉담읍, 진안동, 병점1동, 병점2동, 반월동, 기배동, 화산동"
경기도,광주시 갑,152357,"퇴촌면, 남종면, 남한산성면, 경안동, 송정동, 광남동"
경기도,광주시 을,158648,"오포읍, 초월읍, 곤지암읍, 도척면"
경기도,양주시,204566,양주시 전역
경기도,포천시·가평군,217773,포천시·가평군 전역
경기도,여주시·양평군,218725,여주시·양평군 전역
강원도,춘천시,277266,춘천시 전역
강원도,원주시 갑,166191,"문막읍, 호저면, 지정면, 부론면, 귀래면, 중앙동, 원인동,일산동, 학성동, 단계동, 우산동, 태장1동, 태장2동, 무실동"
강원도,원주시 을,165368,"소초면, 흥업면, 판부면, 신림면, 개운동, 명륜1동,명륜2동, 단구동, 봉산동, 행구동, 반곡·관설동"
강원도,강릉시,214799,강릉시 전역
강원도,동해시·삼척시,165110,동해시·삼척시 전역
강원도,태백시·횡성군·영월군·평창군·정선군,216350,태백시·횡성군·영월군·평창군·정선군 전역
강원도,속초시·고성군·양양군,140074,속초시·고성군·양양군 전역
강원도,홍천군·철원군·화천군·양구군·인제군,204063,홍천군·철원군·화천군·양구군·인제군 전역
충청북도,청주시 상당구,176955,상당구 전역
충청북도,청주시 서원구,220760,서원구 전역
충청북도,청주시 흥덕구,253060,흥덕구 전역
충청북도,청주시 청원구,180860,청원구 전역
충청북도,충주시,208080,충주시 전역
충청북도,제천시·단양군,167183,제천시·단양군 전역
충청북도,보은군·옥천군·영동군·괴산군,175530,보은군·옥천군·영동군·괴산군 전역
충청북도,증평군·진천군·음성군,200228,증평군·진천군·음성군 전역
충청남도,천안시 갑,217486,"동남구 목천읍, 북면, 성남면, 수신면, 병천면, 동면, 중앙동,문성동, 원성1동, 원성2동, 봉명동, 일봉동, 신안동"
충청남도,천안시 갑,217486,"서북구 성정1동, 성정2동"
충청남도,천안시 을,217742,"서북구 성환읍, 성거읍, 직산읍, 입장면, 백석동, 불당동, 부성1동, 부성2동"
충청남도,천안시 병,169305,"동남구 풍세면, 광덕면, 신방동, 청룡동"
충청남도,천안시 병,169305,"서북구 쌍용1동, 쌍용2동, 쌍용3동"
충청남도,공주시·부여군·청양군,214956,공주시·부여군·청양군 전역
충청남도,보령시·서천군,161683,보령시·서천군 전역
충청남도,아산시 갑,153461,"선장면, 도고면, 신창면, 온양1동, 온양2동, 온양3동, 온양4동, 온양5동, 온양6동"
충청남도,아산시 을,143497,"염치읍, 배방읍, 송악면, 탕정면, 음봉면, 둔포면, 영인면, 인주면"
충청남도,서산시·태안군,232888,서산시·태안군 일원
충청남도,논산시·계룡시·금산군,220125,논산시·계룡시·금산군 전역
충청남도,당진시,164718,당진시 전역
충청남도,홍성군·예산군,177479,홍성군·예산군 전역
전라북도,전주시 갑,186391,"완산구 중앙동, 풍남동, 노송동, 완산동, 동서학동,서서학동, 중화산1동, 중화산2동, 평화1동, 평화2동"
전라북도,전주시 갑,186391,덕진구 인후3동
전라북도,전주시 을,216481,"완산구 서신동, 삼천1동, 삼천2동, 삼천3동, 효자1동, 효자2동, 효자3동, 효자4동"
전라북도,전주시 병,251343,"덕진구 진북동, 인후1동, 인후2동, 덕진동, 금암1동, 금암2동,팔복동, 우아1동, 우아2동, 호성동, 송천1동, 송천2동, 조촌동, 동산동"
전라북도,군산시,278576,군산시 전역
전라북도,익산시 갑,141090,"함열읍, 오산면, 황등면, 함라면, 웅포면, 성당면, 용안면, 용동면,중앙동, 평화동, 인화동, 마동, 남중동, 모현동, 송학동, 신동"
전라북도,익산시 을,161220,"낭산면, 망성면, 여산면, 금마면, 왕궁면, 춘포면, 삼기면,동산동, 영등1동, 영등2동, 어양동, 팔봉동, 삼성동"
전라북도,정읍시·고창군,175699,정읍시·고창군 전역
전라북도,남원시·임실군·순창군,143714,남원시·임실군·순창군 전역
전라북도,김제시·부안군,146024,김제시·부안군 전역
전라북도,완주군·진안군·무주군·장수군,168759,완주군·진안군·무주군·장수군 전역
전라남도,목포시,238440,목포시 전역
전라남도,여수시 갑,144459,"돌산읍, 남면, 삼산면, 동문동, 한려동, 중앙동, 충무동, 광림동,서강동, 대교동, 국동, 월호동, 여서동, 문수동, 미평동, 만덕동"
전라남도,여수시 을,145877,"소라면, 율촌면, 화양면, 화정면, 둔덕동, 쌍봉동, 시전동, 여천동, 주삼동, 삼일동, 묘도동"
전라남도,순천시,278982,순천시 전역
전라남도,나주시·화순군,164444,나주시·화순군 전역
전라남도,광양시·곡성군·구례군,209989,광양시·곡성군·구례군 전역
전라남도,담양군·함평군·영광군·장성군,184137,담양군·함평군·영광군·장성군 전역
전라남도,고흥군·보성군·장흥군·강진군,193714,고흥군·보성군·장흥군·강진군 전역
전라남도,해남군·완도군·진도군,161804,해남군·완도군·진도군 전역
전라남도,영암군·무안군·신안군,183770,영암군·무안군·신안군 전역
경상북도,포항시 북구,271783,북구 전역
경상북도,포항시 남구·울릉군,256892,포항시 남구·울릉군 전역
경상북도,경주시,260219,경주시 전역
경상북도,김천시,140157,김천시 전역
경상북도,안동시,168171,안동시 전역
경상북도,구미시 갑,227236,"송정동, 원평1동, 원평2동, 도량동, 지산동, 선주·원남동, 형곡1동, 형곡2동,신평1동, 신평2동, 비산동, 공단1동, 공단2동, 광평동, 상모·사곡동, 임오동"
경상북도,구미시 을,192512,"선산읍, 고아읍, 무을면, 옥성면, 도개면, 해평면, 산동면, 장천면, 인동동, 진미동, 양포동"
경상북도,영주시·문경시·예천군,230117,영주시·문경시·예천군 전역
경상북도,영천시·청도군,144121,영천시·청도군 전역
경상북도,상주시·군위군·의성군·청송군,207417,상주시·군위군·의성군·청송군 전역
경상북도,경산시,257042,경산시 전역
경상북도,영양군·영덕군·봉화군·울진군,142907,영양군·영덕군·봉화군·울진군 전역
경상북도,고령군·성주군·칠곡군,202304,고령군·성주군·칠곡군 전역
경상남도,창원시 의창구,257665,의창구 전역
경상남도,창원시 성산구,236261,성산구 전역
경상남도,창원시 마산합포구,181430,마산합포구 전역
경상남도,창원시 마산회원구,211309,마산회원구 전역
경상남도,창원시 진해구,183418,진해구 전역
경상남도,진주시 갑,180496,"문산읍, 내동면, 정촌면, 금곡면, 명석면, 대평면, 수곡면, 천전동,성북동, 평거동, 신안동, 이현동, 판문동, 가호동, 충무공동"
