시도명,의석수,선거구,관할구역,변동,인구수
경기도,59,성남시 분당구 을,"성남시 분당구 정자1동, 정자2동, 정자3동, 정자동, 분당동, 금곡동, 구미동, 구미1동, 수내1동, 수내2동, 수내3동",,232609
경기도,59,의정부시 갑,"의정부시 호원1동, 호원2동, 가능1동, 가능2동, 가능3동, 녹양동, 의정부1동, 의정부2동",,203486
경기도,59,의정부시 을,"의정부시 신곡1동, 신곡2동, 송산1동, 송산2동, 송산3동, 장암동, 자금동",,249841
경기도,59,안양시 만안구,안양시 만안구 전 지역,,241861
경기도,59,안양시 동안구 갑,"안양시 동안구 비산1동, 비산2동, 비산3동, 부흥동, 달안동, 부림동, 관양1동, 관양2동",,170040
경기도,59,안양시 동안구 을,"안양시 동안구 호계1동, 호계2동, 호계3동, 평촌동, 평안동, 귀인동, 범계동, 신촌동, 갈산동",,150020
경기도,59,부천시 갑,"부천시 심곡동, 부천동",명칭변경,156499
경기도,59,부천시 을,"부천시 중동, 신중동, 상동",명칭변경,261541
경기도,59,부천시 병,"부천시 대산동, 소사본동, 범안동",명칭변경,236964
경기도,59,부천시 정,"부천시 성곡동, 오정동",명칭변경,171941
경기도,59,광명시 갑,"광명시 광명1동, 광명2동, 광명3동, 광명4동, 광명5동, 광명6동, 광명7동, 철산1동, 철산2동, 철산3동, 철산4동",경계조정,156362
경기도,59,광명시 을,"광명시 하안1동, 하안2동, 하안3동, 하안4동, 소하1동, 소하2동, 학온동",경계조정,159624
경기도,59,평택시 갑,"평택시 비전1동, 중앙동, 서정동, 송탄동, 지산동, 송북동, 통복동, 세교동, 신장1동, 신장2동, 진위면, 서탄면",경계조정,256788
경기도,59,평택시 을,"평택시 비전2동, 용이동, 신평동, 원평동, 팽성읍, 안중읍, 포승읍, 청북읍, 고덕면, 오성면, 현덕면",경계조정,261493
경기도,59,동두천시·연천군,"동두천시 전 지역, 연천군 전 지역",,137850
경기도,59,안산시 상록구 갑,"안산시 상록구 사동, 사이동, 해양동, 반월동, 본오1동, 본오2동, 본오3동",,197077
경기도,59,안산시 상록구 을,"안산시 상록구 일동, 이동, 부곡동, 월피동, 성포동, 안산동",,149636
경기도,59,안산시 단원구 갑,"안산시 단원구 와동, 원곡동, 백운동, 신길동, 선부1동, 선부2동, 선부3동",,155880
경기도,59,안산시 단원구 을,"안산시 단원구 고잔동, 중앙동, 호수동, 초지동, 대부동",,149664
경기도,59,고양시 갑,"고양시 덕양구 주교동, 원신동, 흥도동, 고양동, 관산동, 성사1동, 성사2동, 화정1동, 화정2동",경계조정,257422
