SFZN_ID,INST_NM,RDNMADR,LNMADR,INST_PURPS,CCTV_CNT,CCTV_PIXEL,PTGRF_INFO,CSTDY_DAY,INST_YYMM,PH_NUMBER,경도,위도,REF_DATE,ID_PRT
20,광명시,경기도 광명시 안현로 80-2,경기도 광명시 하안동 25-1,어린이보호,1,0,360도전방면,,,182,126.8814575,37.46562314,2021-10-01,0020-V-0001
21,광명시,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,다목적,1,0,360도전방면,,,182,126.8880168,37.44862352,2021-10-26,0021-V-0003
11,광명시,경기도 광명시 금당로 11-7,경기도 광명시 하안동 297,다목적,4,0,360도전방면,,,182,126.8804949,37.45769644,2021-10-14,0011-V-0001
38,광명시,경기도 광명시 한내로13번길 17,경기도 광명시 소하동 1283-1,어린이보호,1,0,360도전방면,,,182,126.8821818,37.45597172,2021-10-12,0038-V-0001
11,광명시,경기도 광명시 금당로 11-7,경기도 광명시 하안동 297,다목적,1,0,360도전방면,,,182,126.8801048,37.45800961,2021-10-14,0011-V-0002
11,광명시,경기도 광명시 금당로 11-7,경기도 광명시 하안동 297,어린이보호,1,0,360도전방면,,,182,126.8792247,37.45900836,2021-10-14,0011-V-0003
21,광명시,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,다목적,1,0,360도전방면,,,182,126.8861561,37.44933144,2021-10-26,0021-V-0001
12,광명시,경기도 광명시 금당로 71,경기도 광명시 하안동 111,다목적,1,0,360도전방면,,,182,126.8855903,37.46100694,2021-10-14,0012-V-0001
12,광명시,경기도 광명시 금당로 71,경기도 광명시 하안동 111,어린이보호,1,0,360도전방면,,,182,126.8845946,37.46072554,2021-10-14,0012-V-0002
22,광명시,경기도 광명시 한내일로 5,경기도 광명시 소하동 1287,다목적,1,0,360도전방면,,,182,126.8846677,37.45354724,2021-10-26,0022-V-0003
22,광명시,경기도 광명시 한내일로 5,경기도 광명시 소하동 1287,다목적,1,0,360도전방면,,,182,126.8853743,37.45260578,2021-10-26,0022-V-0004
