시도명,선거구,후보자,공천_유형,경력,유튜브
충청남도,아산 갑,복기왕,단수 공천,17대 국회의원전 아산시장,https://www.youtube.com/channel/UCUCSAJq6cBljLC3bYjUIQSw
충청남도,아산 을,강훈식,단수 공천,20대 국회의원,https://www.youtube.com/channel/UCMKz8kR5MUN-uHB2_Jy_swg
충청남도,공주·부여·청양,박수현,단수 공천,19대 국회의원전 청와대 대변인,https://www.youtube.com/channel/UC7bIPnFw9WDgTa5vekgcaIg
충청남도,당진,어기구,경선 공천,20대 국회의원,https://www.youtube.com/channel/UChs_XqFh2-Wuwu4fkfti0og
충청남도,서산·태안,조한기,단수 공천,,https://www.youtube.com/channel/UCKr5pfkuAxnITOqKZXsssgQ
충청남도,논산·계룡·금산,김종민,경선 공천,20대 국회의원,https://www.youtube.com/channel/UCqJAAEXFXZqlwfe-_pgQm7A
충청남도,홍성·예산,김학민,경선 공천,,https://www.youtube.com/channel/UCGtAFFUh5p5TyA_eGBORIqQ
충청남도,보령·서천,나소열,단수 공천,전 서천군수,https://www.youtube.com/channel/UCP3PVnbvdtOUfqpJP29nCzw
전라북도,전주 갑,김윤덕,경선 공천,제19대 국회의원,https://www.youtube.com/channel/UC4OAafeQilP01diUwREYnqA
전라북도,전주 을,이상직,경선 공천,제19대 국회의원전 이스타항공 총괄회장,https://www.youtube.com/channel/UCaFsLHSIQ9jEJzQax47dbow
전라북도,전주 병,김성주,단수 공천,제19대 국회의원,https://www.youtube.com/user/iljiam
전라북도,군산,신영대,단수 공천,,https://www.youtube.com/channel/UCLFn1-WikFrCbHISlGo3Yrg
전라북도,익산 갑,김수흥,경선 공천,전 국회사무처 사무차장,https://www.youtube.com/channel/UC5JE68xgo05qJqXPc_tOEwg
전라북도,익산 을,한병도,경선 공천,제17대 국회의원,https://www.youtube.com/channel/UCJEU__3gMy5HDfMMxWwfW-A
전라북도,정읍·고창,윤준병,단수 공천,전 서울특별시 행정1부시장,https://www.youtube.com/channel/UCsSKyhkxLxd2H7lVy0PR35A
전라북도,남원·임실·순창,이강래,경선 공천,제16·17·18대 국회의원전 한국도로공사 사장,https://www.youtube.com/channel/UC936ocow0sAk1-__LOzQR8g
전라북도,김제·부안,이원택,단수 공천,전 문재인 정부 청와대 행정관전 전라북도 정무부지사,
전라북도,완주·진안·무주·장수,안호영,경선 공천,제20대 국회의원,https://www.youtube.com/channel/UCrIWiDrst31FGTGe5fy8-RA
전라남도,목포,김원이,경선 공천,전 서울특별시 정무부시장,https://www.youtube.com/channel/UCK4UEOo5-9la9o8xUrjUzLg
전라남도,여수 갑,주철현,경선 공천,전 여수시장(민선 6기)전 대검찰청 강력부장,https://www.youtube.com/channel/UC7_h7D5NNp3B7hiDNCu0uxg
전라남도,여수 을,김회재,경선 공천,,https://www.youtube.com/channel/UC3VoIVKx9QGQ6i7iX2PHcVA
전라남도,순천·광양·곡성·구례 갑,소병철,전략 공천,"전 법무연수원장농협대학교, 순천대학교, 법무연수원 석좌교수",https://www.youtube.com/channel/UCMEw9KjrmjmlqLYeWyINcjg
전라남도,순천·광양·곡성·구례 을,서동용,경선 공천,,https://www.youtube.com/channel/UCXem3fSASO5gq-DyAmj4UkA
전라남도,나주·화순,신정훈,경선 공천,제19대 국회의원,https://www.youtube.com/channel/UCpaILYmRFjNfb6A-NXKnOHA
전라남도,담양·함평·영광·장성,이개호,단수 공천,제19·20대 국회의원전 농림축산식품부 장관전 전라남도 제35대 행정부지사,https://www.youtube.com/channel/UCkDf-Hsk7mtxsIIecbrZKxw
전라남도,무안·신안·영암,서삼석,경선 공천,제20대 국회의원제42·43·44대 무안군수제5·6대 전라남도의회 의원,https://www.youtube.com/channel/UCdM16GO1jwGXmxbS1j2vOhw
전라남도,고흥·보성·장흥·강진,김승남,경선 공천,제19대 국회의원,
전라남도,해남·진도·완도,윤재갑,경선 공천,전 해군 군수사령부 사령관목포해양대학교 초빙교수,
경상북도,포항 북,오중기,단수 공천,NA,https://www.youtube.com/channel/UCLyMtRHCQHhZb7SlTK_gY7g
경상북도,포항 남·울릉,허대만,단수 공천,NA,https://www.youtube.com/channel/UCkTBZbC0GEXXGVfYxvHrK8A
경상북도,구미 갑,김철호,경선 공천,NA,https://www.youtube.com/channel/UCLlIMOkcH3ZmQf6WztNcJTA
경상북도,구미 을,김현권,단수 공천,NA,https://www.youtube.com/channel/UCdrkeofzprOvPjF4FVPzc4g
경상북도,경산,전상헌,경선 공천,NA,https://www.youtube.com/channel/UCO9iBHFnf4QFraNwIwvOzDQ
경상북도,김천,배영애,단수 공천,NA,
경상북도,경주,정다은,전략 공천,NA,https://www.youtube.com/channel/UCvoIQpEpoK8Rn5xq_UvP9Rg
경상북도,안동·예천,이삼걸,단수 공천,NA,https://www.youtube.com/channel/UCraPHuMRGTL26ICCalrokdQ
경상북도,영천·청도,정우동,단수 공천,NA,https://www.youtube.com/channel/UClxdqt36uQV7suxgBdbu-Qw
경상북도,군위·의성·청송·영덕,강부송,단수 공천,NA,https://www.youtube.com/channel/UC1ZMeblI1XHpV80xNUpSF2w
경상북도,상주·문경,정용운,단수 공천,NA,https://www.youtube.com/channel/UCuFP26H8ZKV5bWxh8zgfd2Q
경상북도,영주·영양·봉화·울진,황재선,경선 공천,NA,https://www.youtube.com/channel/UCI_CgPdCvrzrVXK_4N976Ug
경상북도,고령·성주·칠곡,장세호,단수 공천,NA,https://www.youtube.com/channel/UCWv2bQWftGAtC4ZZhkVm7ZA
경상남도,창원 의창,김기운,경선 공천,,https://www.youtube.com/channel/UCPgrstNYM6MuFjpXtbAUAvw
경상남도,창원 성산,이흥석,단수 공천,,https://www.youtube.com/channel/UC20ziDUTHWYu5g92AwhZDUg
경상남도,창원 마산합포,박남현,경선 공천,,https://www.youtube.com/channel/UCJ7qnEaczE1CNJIzjxplbcg
경상남도,창원 마산회원,하귀남,단수 공천,,https://www.youtube.com/channel/UCDUhhKl2bWzAZQU9AoK1-Uw
경상남도,창원 진해,황기철,단수 공천,제30대 해군참모총장,https://www.youtube.com/channel/UCkW4ewrBGOGnY7pzLRGX-qg
경상남도,진주 갑,정영훈,경선 공천,,https://www.youtube.com/channel/UCB_B9TjNfGVcI3FeOUJv_Pw
경상남도,진주 을,한경호,단수 공천,,https://www.youtube.com/channel/UC_rp_X0ms_MyxrlBZOpdaBQ
경상남도,김해 갑,민홍철,단수 공천,제19·20대 국회의원,https://www.youtube.com/channel/UCLFCFQC_7Mtt3t7r1yKCHBg
경상남도,김해 을,김정호,경선 공천,제20대 국회의원,https://www.youtube.com/channel/UCXEu8xyS1u7POLvhhxq0fTA
경상남도,양산 갑,이재영,전략 공천,대외경제정책연구원 원장외교부 정책자문위원,https://www.youtube.com/channel/UCT6yNy19zvk5BQDu8xmZWCQ
경상남도,양산 을,김두관,전략 공천,제20대 국회의원(경기 김포 갑)제34대 경상남도지사제38·39대 남해군수,https://www.youtube.com/channel/UCCJzmCpP3tR0iowZK3I0JEQ
경상남도,통영·고성,양문석,단수 공천,,https://www.youtube.com/channel/UCa28SQOj1JCqZcFeArJXJKQ
경상남도,거제,문상모,경선 공천,,https://www.youtube.com/channel/UCcK6JSsUZi9ZCOasZuVSL3A
경상남도,밀양·의령·함안·창녕,조성환,단수 공천,,https://www.youtube.com/channel/UCJDX_wazEjPFwL_QPedyx2w
경상남도,사천·남해·하동,황인성,단수 공천,,https://www.youtube.com/channel/UCyWyvV_Www3Xlx_qYhe7eKQ
경상남도,산청·함양·거창·합천,서필상,단수 공천,,https://www.youtube.com/channel/UCFOVPI4Y3BseriBKnIkCjyQ
제주특별자치도,제주 갑,송재호,전략 공천,,https://www.youtube.com/channel/UC-I8c113p-KfHnfY7zrj6PA
제주특별자치도,제주 을,오영훈,경선 공천,제20대 국회의원,https://www.youtube.com/channel/UCjz43jzGAOacM52t9ua1oNw
제주특별자치도,서귀포,위성곤,단수 공천,제20대 국회의원,https://www.youtube.com/channel/UCAFjsCaWERftqIbP_OjZU7Q
